sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
318666,Brunstad Fia,2 seter,Brunstad AS,Brunstad,FIA,2 seter,26020,,Brun,Varde 39 Sepia,110,86,45,52,https://checkout.bohus.no/sofa/2-seter/fia-2-seter-sofa-5
231745,Weston,2 seter,Dominari Grupe UAB,,WESTON,2 seter,11499,19165,Brun,Ecohud lys brun,164,79,46,56,https://checkout.bohus.no/sofa/2-seter/weston-2-seter
320860,Vilmers Nordstrand,"2,5 seter",Vilmers,Vilmers,NORDSTRAND,"2,5 seter",13999,23445,Brun,Dolomite Aluminium,196,79,45,60,https://checkout.bohus.no/sofa/2-seter/nordstrand-2-5-seter-sofa
243745,Brunstad Fia,2 seter,Brunstad AS,Brunstad,FIA,2 seter,21945,29260,Brun,Abby 06 Brown,145,86,45,52,https://checkout.bohus.no/sofa/2-seter/fia-2-seter-1
260241,Weston,2 seter,Dominari Grupe UAB,,WESTON,2 seter,11499,19165,Brun,Ecohud mørk brun,164,79,46,56,https://checkout.bohus.no/sofa/2-seter/weston-2-seter-2
260243,Weston,2 seter,Dominari Grupe UAB,,WESTON,2 seter,11499,19165,Grå,Ecohud grå,164,79,46,56,https://checkout.bohus.no/sofa/2-seter/weston-2-seter-1
275262,Stressless Ella,2 seter med sjeselong,Ekornes AS,Stressless,ELLA,2 seter,48360,69085,Brun,Paloma 43 Almond,227,78,44,55,https://checkout.bohus.no/sofa/2-seter/ella-2-seter-modul-med-sjeselong
275265,Stressless Ella,2 seter,Ekornes AS,Stressless,ELLA,2 seter,35109,50155,Brun,Paloma 40 New cognac,,78,44,55,https://checkout.bohus.no/sofa/2-seter/ella-2-seter
276735,Brunstad Fia,2 seter,Brunstad AS,Brunstad,FIA,2 seter,19999,26740,Grå,Abby 37 Concrete,145,86,45,52,https://checkout.bohus.no/sofa/2-seter/fia-2-seter
318011,Freja,2 seter,Dominari Grupe UAB,,FREJA,2 seter,6999,9332,Grønn,Milo grønn,148,83,46,55,https://checkout.bohus.no/sofa/2-seter/freja-2-seter-sofa
292821,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,7999,16600,Grønn,Happy 38 Grønn,156,81,47,57,https://checkout.bohus.no/sofa/2-seter/eton-2-seter
319776,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,7999,16600,Beige/natur,Storm 02 Ecru,156,81,47,55,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa-14
319779,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,7999,16600,Blå,Storm 71 Linblå,156,81,47,55,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa-17
295372,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,7999,16600,Beige/natur,Happy 03 Ecru,156,81,47,57,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa
295373,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,7999,16600,Blå,Happy 72 Stålblå,156,81,47,57,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa-1
326566,Vilmers Nordstrand,"2,5 seter",Vilmers,Vilmers,NORDSTRAND,"2,5 seter",23445,,Brun,Diopsid Latte,200,79,45,60,https://checkout.bohus.no/sofa/2-seter/nordstrand-2-5-seter-sofa-10
319772,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,16600,,Beige/natur,Mist Beige,156,81,47,55,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa-10
318377,Scapa Noelle,2 seter,Scapa UAB,Scapa,NOELLE,2 seter,28500,,Beige/natur,Hevre 0980 Light beige,161,84,45,56,https://checkout.bohus.no/sofa/2-seter/noelle-2-seter-sofa-1
318486,Vilmers Nordic,"2,5 seter",Vilmers,Vilmers,NORDIC,"2,5 seter",22856,,Brun,Lavastone Sepia,190,82,45,54,https://checkout.bohus.no/sofa/2-seter/nordic-2-5-seter-sofa-6
318490,Vilmers Nordic,"2,5 seter",Vilmers,Vilmers,NORDIC,"2,5 seter",22856,,Beige/natur,Lavastone Linen,190,82,45,54,https://checkout.bohus.no/sofa/2-seter/nordic-2-5-seter-sofa-10
319771,Eton,2 seter,Dominari Grupe UAB,,ETON,2 seter,16600,,Grå,Harmony 9 Lys granitt,156,81,47,55,https://checkout.bohus.no/sofa/2-seter/eton-2-seter-sofa-9
310797,Scapa Oxford,2 seter,Scapa UAB,Scapa,OXFORD,2 seter,12678,19505,Beige/natur,Carlo 1600 Beige,182,87,44,59,https://checkout.bohus.no/sofa/2-seter/oxford-2-seter-sofa-2
310798,Scapa Oxford,2 seter,Scapa UAB,Scapa,OXFORD,2 seter,12678,19505,Grå,Carlo 1604 Light grey,182,87,44,59,https://checkout.bohus.no/sofa/2-seter/oxford-2-seter-sofa-3
310799,Scapa Oxford,2 seter,Scapa UAB,Scapa,OXFORD,2 seter,12678,19505,Grønn,Carlo 1642 Green,182,87,44,59,https://checkout.bohus.no/sofa/2-seter/oxford-2-seter-sofa-4
251890,IMG Melby,2 seter,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,2 seter,21000,,Grå,Elite Nimbus,148,80,44,50,https://checkout.bohus.no/sofa/2-seter/melby-2-seter-2
266566,IMG Melby,2 seter,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,2 seter,15550,,Beige/natur,Salsa 154 Stone,148,80,44,50,https://checkout.bohus.no/sofa/2-seter/melby-2-seter-1
266567,IMG Melby,2 seter,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,2 seter,20680,,Brun,Trend T409 Cognac,148,80,44,50,https://checkout.bohus.no/sofa/2-seter/melby-2-seter
