varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
122088,Santo U-sofa,Santo U-sofa,Furninova,Alle produkter/Alle sofaer/Sofa/,24999.0,93390.0,73.0,7050733760521,2451002,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/santo-u-sofa/?VariationId=V_5637609775,False,2
122475,Indra U-sofa,Indra U-sofa,Furninova,Alle produkter/Alle sofaer/Sofa/,24999.0,91792.0,73.0,7050733760415,2450900,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/indra-u-sofa/?VariationId=V_5637611900,False,2
121644,Ellinor 1-seter med arm,Ellinor 1-seter med arm,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,6600.0,16499.0,60.0,7050733751352,2623258,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-1-seter-med-arm/?VariationId=V_5637603591,False,2
121648,Ellinor hjørnesofa,Ellinor hjørnesofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,21600.0,53999.0,60.0,7050733751413,2623264,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-hjornesofa-121648/?VariationId=V_5637603600,False,1
121650,Ellinor U-sofa,Ellinor U-sofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,27320.0,68299.0,60.0,7050733751468,2623269,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-u-sofa-121650/?VariationId=V_5637603604,False,1
121647,"Ellinor 2,5-seter med sjeselong","Ellinor 2,5-seter med sjeselong",Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,16240.0,40599.0,60.0,7050733751406,2623263,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-25-seter-med-sjeselong/?VariationId=V_5637603598,False,1
121649,Ellinor U-sofa,Ellinor U-sofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,31040.0,77599.0,60.0,7050733751451,2623268,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-u-sofa/?VariationId=V_5637603602,False,1
119624,Boom 3-seter sofa,Boom 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,3999.0,9999.0,60.0,7350107087477,1115400,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/boom-3-seter-sofa/?VariationId=V_5637576971,True,2
116792,Ellinor hjørnesofa,Ellinor hjørnesofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,25414.0,63535.0,60.0,7050733529807,2623255,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-hjornesofa/?VariationId=V_5637603578,True,4
117218,"Monaco 2,5-seter med åpen ende","Monaco 2,5-seter med åpen ende",,Alle produkter/Alle sofaer/Sofa/,13999.0,32399.0,57.0,7050733560930,1777603,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-25-seter-med-apen-ende/?VariationId=V_5637552629,True,24
121646,"Ellinor 3,5-seter","Ellinor 3,5-seter",Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,13216.0,30039.0,56.0,7050733751383,2623261,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-35-seter/?VariationId=V_5637603596,False,2
